,coef,std err,t,P>|t|,[0.025,0.975]
const,-662.1109,97.235,-6.809,0.0,-852.688,-471.534
long_axis,-0.0002,0.0,-0.523,0.601,-0.001,0.001
short_axis,0.0002,0.001,0.115,0.908,-0.003,0.003
speed,-0.1577,0.022,-7.153,0.0,-0.201,-0.114
accel,0.1024,0.012,8.711,0.0,0.079,0.125
Dis,0.8601,0.202,4.249,0.0,0.463,1.257
Orientation,5.065e-05,9.74e-05,0.52,0.603,-0.0,0.0
Dir,4.782e-05,9.56e-05,0.5,0.617,-0.0,0.0
Season,0.361,0.026,14.113,0.0,0.311,0.411
YardLine,0.022,0.001,27.223,0.0,0.02,0.024
Quarter,-0.0006,0.016,-0.041,0.968,-0.031,0.03
GameClock,0.0003,4.07e-05,7.497,0.0,0.0,0.0
Down,0.0103,0.018,0.578,0.563,-0.025,0.045
Distance,0.0802,0.003,24.613,0.0,0.074,0.087
HomeScoreBeforePlay,-0.007,0.001,-4.894,0.0,-0.01,-0.004
VisitorScoreBeforePlay,0.0051,0.002,3.267,0.001,0.002,0.008
DefendersInTheBox,-0.5477,0.016,-34.555,0.0,-0.579,-0.517
PlayerHeight,0.4476,0.283,1.581,0.114,-0.107,1.003
PlayerWeight,-0.2884,0.282,-1.023,0.306,-0.841,0.264
Week,-0.011,0.003,-3.931,0.0,-0.016,-0.006
Temperature,-0.0063,0.001,-6.871,0.0,-0.008,-0.004
Humidity,-0.0011,0.001,-2.024,0.043,-0.002,-3.48e-05
WindSpeed,0.0014,0.001,1.956,0.05,-2.85e-06,0.003
Team_home,-0.0205,0.02,-1.018,0.309,-0.06,0.019
DisplayName_A.J. Bouye,-5.3656,1.431,-3.75,0.0,-8.17,-2.561
DisplayName_A.J. Cann,3.5605,3.234,1.101,0.271,-2.778,9.899
DisplayName_A.J. Derby,-4.3172,4.015,-1.075,0.282,-12.187,3.552
DisplayName_A.J. Francis,0.121,0.989,0.122,0.903,-1.817,2.059
DisplayName_A.J. Green,-3.1675,1.825,-1.735,0.083,-6.745,0.41
DisplayName_A.J. Klein,-0.582,5.627,-0.103,0.918,-11.611,10.447
DisplayName_A.Q. Shipley,-4.1615,2.272,-1.831,0.067,-8.615,0.292
DisplayName_AJ McCarron,-1.3673,2.316,-0.59,0.555,-5.906,3.171
DisplayName_Aaron Colvin,-5.2639,1.463,-3.598,0.0,-8.131,-2.397
DisplayName_Aaron Donald,-13.3736,13.847,-0.966,0.334,-40.514,13.767
DisplayName_Aaron Jones,-5.4652,5.883,-0.929,0.353,-16.995,6.065
DisplayName_Aaron Lynch,10.4947,17.769,0.591,0.555,-24.333,45.322
DisplayName_Aaron Neary,-10.2096,3.589,-2.845,0.004,-17.244,-3.175
DisplayName_Aaron Ripkowski,-1.4214,1.553,-0.916,0.36,-4.464,1.622
DisplayName_Aaron Rodgers,1.3119,0.571,2.299,0.022,0.193,2.43
DisplayName_Aaron Wallace,1.0285,6.472,0.159,0.874,-11.657,13.714
DisplayName_Abry Jones,-0.279,0.805,-0.347,0.729,-1.857,1.299
DisplayName_Adam Bisnowaty,-0.6427,3.172,-0.203,0.839,-6.859,5.574
DisplayName_Adam Butler,-9.3292,8.578,-1.088,0.277,-26.142,7.483
DisplayName_Adam Gotsis,-9.311,11.776,-0.791,0.429,-32.392,13.77
DisplayName_Adam Humphries,-5.5132,3.992,-1.381,0.167,-13.338,2.311
DisplayName_Adam Jones,-5.6479,2.596,-2.176,0.03,-10.735,-0.56
DisplayName_Adam Redmond,-8.9819,3.161,-2.842,0.004,-15.177,-2.787
DisplayName_Adam Shaheen,1.553,1.31,1.186,0.236,-1.014,4.12
DisplayName_Adam Thielen,-5.0533,2.775,-1.821,0.069,-10.492,0.385
DisplayName_Adarius Glanton,-2.2325,3.27,-0.683,0.495,-8.642,4.177
DisplayName_Adarius Taylor,-1.7724,3.225,-0.55,0.583,-8.093,4.548
DisplayName_Adolphus Washington,-9.5429,9.887,-0.965,0.334,-28.922,9.836
DisplayName_Adonis Alexander,3.2354,5.034,0.643,0.52,-6.63,13.101
DisplayName_Adoree' Jackson,-6.5639,2.542,-2.582,0.01,-11.547,-1.581
DisplayName_Adrian Amos,4.0434,6.663,0.607,0.544,-9.015,17.102
DisplayName_Adrian Clayborn,-11.7249,13.658,-0.858,0.391,-38.494,15.045
DisplayName_Adrian Colbert,0.0359,4.06,0.009,0.993,-7.921,7.993
DisplayName_Adrian Peterson,-5.3908,3.145,-1.714,0.087,-11.556,0.774
DisplayName_Adrian Phillips,3.2187,5.691,0.566,0.572,-7.936,14.373
DisplayName_Ahkello Witherspoon,-5.8658,1.455,-4.032,0.0,-8.717,-3.014
DisplayName_Ahmad Brooks,4.0969,10.671,0.384,0.701,-16.817,25.011
DisplayName_Ahmad Thomas,-4.6427,3.496,-1.328,0.184,-11.495,2.21
DisplayName_Ahtyba Rubin,-3.5853,4.182,-0.857,0.391,-11.781,4.61
DisplayName_Akeem Ayers,-3.3619,9.719,-0.346,0.729,-22.411,15.687
DisplayName_Akeem Hunt,-6.7943,6.974,-0.974,0.33,-20.463,6.874
DisplayName_Akeem King,0.2711,6.39,0.042,0.966,-12.252,12.795
DisplayName_Akeem Spence,-4.9071,6.274,-0.782,0.434,-17.203,7.389
DisplayName_Akiem Hicks,6.4118,6.221,1.031,0.303,-5.781,18.605
DisplayName_Al Woods,-0.4401,0.528,-0.834,0.404,-1.474,0.594
DisplayName_Al-Quadin Muhammad,-20.1757,22.15,-0.911,0.362,-63.59,23.238
DisplayName_Alan Branch,6.3873,5.531,1.155,0.248,-4.453,17.228
DisplayName_Alan Cross,-3.349,5.172,-0.648,0.517,-13.486,6.788
DisplayName_Albert McClellan,2.0186,4.732,0.427,0.67,-7.257,11.294
DisplayName_Albert Wilson,-4.4533,4.144,-1.075,0.282,-12.574,3.668
DisplayName_Aldrick Robinson,-7.6988,6.44,-1.195,0.232,-20.322,4.924
DisplayName_Alec Ogletree,-2.6394,4.144,-0.637,0.524,-10.762,5.483
DisplayName_Alejandro Villanueva,-1.7049,5.028,-0.339,0.735,-11.56,8.15
DisplayName_Alex Anzalone,-0.6491,5.73,-0.113,0.91,-11.88,10.582
DisplayName_Alex Armah,4.4633,7.868,0.567,0.571,-10.958,19.885
DisplayName_Alex Barrett,-20.9574,22.078,-0.949,0.343,-64.23,22.315
DisplayName_Alex Boone,-2.8483,1.844,-1.545,0.122,-6.462,0.766
DisplayName_Alex Cappa,-4.3479,3.064,-1.419,0.156,-10.354,1.658
DisplayName_Alex Collins,-7.4214,5.898,-1.258,0.208,-18.98,4.138
DisplayName_Alex Ellis,-3.5993,4.077,-0.883,0.377,-11.591,4.392
DisplayName_Alex Erickson,-5.4377,3.977,-1.367,0.172,-13.233,2.358
DisplayName_Alex Lewis,-3.8054,2.812,-1.353,0.176,-9.316,1.705
DisplayName_Alex Light,-6.8172,5.406,-1.261,0.207,-17.413,3.779
DisplayName_Alex Mack,-4.4286,1.953,-2.267,0.023,-8.257,-0.6
DisplayName_Alex Okafor,-17.2583,19.339,-0.892,0.372,-55.162,20.646
DisplayName_Alex Redmond,1.1379,1.665,0.683,0.494,-2.126,4.402
DisplayName_Alex Smith,-3.7812,3.584,-1.055,0.291,-10.806,3.244
DisplayName_Alfred Blue,-4.0604,2.423,-1.676,0.094,-8.808,0.688
DisplayName_Alfred Morris,-2.444,2.846,-0.859,0.39,-8.022,3.134
DisplayName_Ali Marpet,-2.2777,2.008,-1.134,0.257,-6.213,1.657
DisplayName_Allen Bailey,-8.0256,11.42,-0.703,0.482,-30.408,14.356
DisplayName_Allen Barbre,-0.9682,1.269,-0.763,0.446,-3.456,1.52
DisplayName_Allen Hurns,-6.5752,3.931,-1.673,0.094,-14.28,1.129
DisplayName_Allen Robinson,0.7176,4.159,0.173,0.863,-7.433,8.868
DisplayName_Alonzo Russell,-2.6018,5.609,-0.464,0.643,-13.596,8.392
DisplayName_Alshon Jeffery,-0.089,3.5,-0.025,0.98,-6.95,6.772
DisplayName_Alterraun Verner,-7.2231,2.424,-2.98,0.003,-11.974,-2.472
DisplayName_Alvin Kamara,-4.3963,4.178,-1.052,0.293,-12.584,3.791
DisplayName_Amara Darboh,-2.1338,3.069,-0.695,0.487,-8.149,3.882
DisplayName_Amari Cooper,-1.3921,2.429,-0.573,0.567,-6.152,3.368
DisplayName_Ameer Abdullah,-9.253,7.166,-1.291,0.197,-23.297,4.791
DisplayName_Amini Silatolu,-4.9386,2.469,-2.0,0.045,-9.778,-0.099
DisplayName_Andre Branch,-16.4207,18.581,-0.884,0.377,-52.838,19.997
DisplayName_Andre Ellington,-9.6089,8.062,-1.192,0.233,-25.41,6.192
DisplayName_Andre Hal,-0.0223,2.25,-0.01,0.992,-4.432,4.387
DisplayName_Andre Holmes,-2.8843,1.858,-1.552,0.121,-6.526,0.758
DisplayName_Andre Roberts,-6.968,4.051,-1.72,0.085,-14.908,0.971
DisplayName_Andre Smith,2.944,8.07,0.365,0.715,-12.873,18.761
DisplayName_Andre Williams,-5.2187,3.84,-1.359,0.174,-12.746,2.308
DisplayName_Andrew Adams,0.401,3.616,0.111,0.912,-6.686,7.488
DisplayName_Andrew Billings,1.0254,1.023,1.003,0.316,-0.979,3.03
DisplayName_Andrew Donnal,-7.3429,3.25,-2.259,0.024,-13.713,-0.973
DisplayName_Andrew Luck,3.9889,4.075,0.979,0.328,-3.998,11.976
DisplayName_Andrew Norwell,2.1676,2.979,0.728,0.467,-3.672,8.007
DisplayName_Andrew Sendejo,1.9743,5.474,0.361,0.718,-8.754,12.703
DisplayName_Andrew Whitworth,1.8828,7.82,0.241,0.81,-13.445,17.21
DisplayName_Andrew Wylie,-3.2924,2.746,-1.199,0.23,-8.674,2.089
DisplayName_Andrus Peat,-1.4044,4.14,-0.339,0.734,-9.519,6.711
DisplayName_Andy Dalton,-1.2133,1.52,-0.798,0.425,-4.193,1.767
DisplayName_Andy Janovich,-0.0464,3.592,-0.013,0.99,-7.086,6.993
DisplayName_Andy Jones,-0.6748,3.199,-0.211,0.833,-6.945,5.595
DisplayName_Andy Levitre,-1.7745,3.015,-0.589,0.556,-7.683,4.134
DisplayName_Angelo Blackson,-0.0722,3.39,-0.021,0.983,-6.717,6.573
DisplayName_Anthony Averett,-9.4895,4.639,-2.046,0.041,-18.582,-0.397
DisplayName_Anthony Barr,2.4397,9.4,0.26,0.795,-15.984,20.863
DisplayName_Anthony Brown,-3.4489,1.73,-1.993,0.046,-6.84,-0.058
DisplayName_Anthony Castonzo,-4.6103,2.341,-1.969,0.049,-9.199,-0.022
