,coef,std err,t,P>|t|,[0.025,0.975]
const,-670.1485,97.23,-6.892,0.0,-860.715,-479.582
long_axis,-0.0003,0.0,-0.676,0.499,-0.001,0.001
short_axis,0.0001,0.001,0.077,0.938,-0.003,0.003
speed,-0.1626,0.022,-7.376,0.0,-0.206,-0.119
accel,0.1003,0.012,8.529,0.0,0.077,0.123
Dis,0.87,0.202,4.298,0.0,0.473,1.267
Orientation,5.03e-05,9.74e-05,0.516,0.606,-0.0,0.0
Dir,4.883e-05,9.55e-05,0.511,0.609,-0.0,0.0
Season,0.3657,0.026,14.295,0.0,0.316,0.416
YardLine,0.0218,0.001,26.964,0.0,0.02,0.023
Quarter,-0.0047,0.016,-0.304,0.761,-0.035,0.026
GameClock,0.0003,4.07e-05,7.757,0.0,0.0,0.0
Down,0.0747,0.019,3.959,0.0,0.038,0.112
Distance,0.053,0.004,12.775,0.0,0.045,0.061
HomeScoreBeforePlay,-0.0069,0.001,-4.853,0.0,-0.01,-0.004
VisitorScoreBeforePlay,0.005,0.002,3.206,0.001,0.002,0.008
DefendersInTheBox,-0.521,0.016,-32.471,0.0,-0.552,-0.49
PlayerHeight,0.4524,0.283,1.598,0.11,-0.103,1.007
PlayerWeight,-0.2997,0.282,-1.064,0.288,-0.852,0.253
Week,-0.0112,0.003,-4.006,0.0,-0.017,-0.006
Temperature,-0.0063,0.001,-6.909,0.0,-0.008,-0.005
Humidity,-0.0011,0.001,-2.027,0.043,-0.002,-3.67e-05
WindSpeed,0.0013,0.001,1.874,0.061,-6.16e-05,0.003
Defenders_vs_Distance,-0.0963,0.009,-10.637,0.0,-0.114,-0.079
Team_home,-0.0205,0.02,-1.017,0.309,-0.06,0.019
DisplayName_A.J. Bouye,-5.3631,1.431,-3.749,0.0,-8.167,-2.559
DisplayName_A.J. Cann,3.692,3.234,1.142,0.254,-2.646,10.03
DisplayName_A.J. Derby,-4.4888,4.015,-1.118,0.264,-12.357,3.38
DisplayName_A.J. Francis,0.1472,0.989,0.149,0.882,-1.791,2.085
DisplayName_A.J. Green,-3.1388,1.825,-1.72,0.085,-6.716,0.439
DisplayName_A.J. Klein,-0.3453,5.626,-0.061,0.951,-11.373,10.682
DisplayName_A.Q. Shipley,-4.136,2.272,-1.82,0.069,-8.589,0.317
DisplayName_AJ McCarron,-1.4677,2.315,-0.634,0.526,-6.006,3.07
DisplayName_Aaron Colvin,-5.2518,1.463,-3.59,0.0,-8.119,-2.385
DisplayName_Aaron Donald,-13.9326,13.845,-1.006,0.314,-41.069,13.204
DisplayName_Aaron Jones,-5.7003,5.882,-0.969,0.332,-17.229,5.828
DisplayName_Aaron Lynch,11.23,17.767,0.632,0.527,-23.593,46.053
DisplayName_Aaron Neary,-10.2585,3.588,-2.859,0.004,-17.292,-3.225
DisplayName_Aaron Ripkowski,-1.4765,1.552,-0.951,0.342,-4.519,1.566
DisplayName_Aaron Rodgers,1.3053,0.571,2.288,0.022,0.187,2.424
DisplayName_Aaron Wallace,1.3476,6.472,0.208,0.835,-11.336,14.032
DisplayName_Abry Jones,-0.2616,0.805,-0.325,0.745,-1.839,1.316
DisplayName_Adam Bisnowaty,-0.5874,3.171,-0.185,0.853,-6.803,5.628
DisplayName_Adam Butler,-9.6582,8.577,-1.126,0.26,-26.469,7.152
DisplayName_Adam Gotsis,-9.7784,11.774,-0.83,0.406,-32.856,13.299
DisplayName_Adam Humphries,-5.6227,3.992,-1.409,0.159,-13.446,2.201
DisplayName_Adam Jones,-5.7103,2.595,-2.2,0.028,-10.797,-0.623
DisplayName_Adam Redmond,-9.0575,3.16,-2.866,0.004,-15.252,-2.863
DisplayName_Adam Shaheen,1.5707,1.31,1.199,0.23,-0.996,4.137
DisplayName_Adam Thielen,-5.1222,2.774,-1.846,0.065,-10.56,0.316
DisplayName_Adarius Glanton,-2.0977,3.27,-0.642,0.521,-8.506,4.311
DisplayName_Adarius Taylor,-1.6415,3.224,-0.509,0.611,-7.961,4.678
DisplayName_Adolphus Washington,-9.9296,9.886,-1.004,0.315,-29.306,9.447
DisplayName_Adonis Alexander,3.3116,5.033,0.658,0.511,-6.553,13.176
DisplayName_Adoree' Jackson,-6.6235,2.542,-2.606,0.009,-11.606,-1.641
DisplayName_Adrian Amos,4.3378,6.662,0.651,0.515,-8.719,17.395
DisplayName_Adrian Clayborn,-12.266,13.656,-0.898,0.369,-39.032,14.5
DisplayName_Adrian Colbert,0.2059,4.059,0.051,0.96,-7.75,8.162
DisplayName_Adrian Peterson,-5.4931,3.145,-1.747,0.081,-11.657,0.671
DisplayName_Adrian Phillips,3.4653,5.69,0.609,0.543,-7.688,14.618
DisplayName_Ahkello Witherspoon,-5.8372,1.455,-4.012,0.0,-8.688,-2.986
DisplayName_Ahmad Brooks,4.5322,10.669,0.425,0.671,-16.379,25.444
DisplayName_Ahmad Thomas,-4.5747,3.496,-1.309,0.191,-11.426,2.277
DisplayName_Ahtyba Rubin,-3.7357,4.181,-0.894,0.372,-11.93,4.459
DisplayName_Akeem Ayers,-3.25,9.718,-0.334,0.738,-22.296,15.796
DisplayName_Akeem Hunt,-7.0814,6.973,-1.016,0.31,-20.748,6.585
DisplayName_Akeem King,0.5435,6.389,0.085,0.932,-11.978,13.065
DisplayName_Akeem Spence,-5.1526,6.273,-0.821,0.411,-17.447,7.142
DisplayName_Akiem Hicks,6.6744,6.22,1.073,0.283,-5.517,18.866
DisplayName_Al Woods,-0.4414,0.528,-0.837,0.403,-1.475,0.593
DisplayName_Al-Quadin Muhammad,-21.0742,22.148,-0.952,0.341,-64.483,22.334
DisplayName_Alan Branch,6.6268,5.53,1.198,0.231,-4.212,17.466
DisplayName_Alan Cross,-3.5567,5.171,-0.688,0.492,-13.692,6.579
DisplayName_Albert McClellan,2.2281,4.732,0.471,0.638,-7.046,11.502
DisplayName_Albert Wilson,-4.5558,4.143,-1.1,0.271,-12.676,3.564
DisplayName_Aldrick Robinson,-7.9182,6.44,-1.23,0.219,-20.54,4.703
DisplayName_Alec Ogletree,-2.4777,4.144,-0.598,0.55,-10.599,5.644
DisplayName_Alejandro Villanueva,-1.5423,5.028,-0.307,0.759,-11.396,8.312
DisplayName_Alex Anzalone,-0.4204,5.73,-0.073,0.942,-11.65,10.809
DisplayName_Alex Armah,4.7055,7.867,0.598,0.55,-10.714,20.125
DisplayName_Alex Barrett,-21.776,22.075,-0.986,0.324,-65.043,21.491
DisplayName_Alex Boone,-2.913,1.844,-1.58,0.114,-6.527,0.701
DisplayName_Alex Cappa,-4.4726,3.064,-1.46,0.144,-10.478,1.533
DisplayName_Alex Collins,-7.6476,5.897,-1.297,0.195,-19.205,3.91
DisplayName_Alex Ellis,-3.7516,4.077,-0.92,0.357,-11.742,4.239
DisplayName_Alex Erickson,-5.558,3.977,-1.398,0.162,-13.352,2.236
DisplayName_Alex Lewis,-3.9085,2.811,-1.39,0.164,-9.418,1.601
DisplayName_Alex Light,-6.8193,5.405,-1.262,0.207,-17.414,3.775
DisplayName_Alex Mack,-4.3718,1.953,-2.238,0.025,-8.2,-0.544
DisplayName_Alex Okafor,-18.0394,19.337,-0.933,0.351,-55.938,19.86
DisplayName_Alex Redmond,1.2028,1.665,0.722,0.47,-2.061,4.466
DisplayName_Alex Smith,-3.9251,3.584,-1.095,0.273,-10.949,3.099
DisplayName_Alfred Blue,-4.1077,2.422,-1.696,0.09,-8.855,0.64
DisplayName_Alfred Morris,-2.5151,2.846,-0.884,0.377,-8.092,3.062
DisplayName_Ali Marpet,-2.3639,2.008,-1.177,0.239,-6.299,1.571
DisplayName_Allen Bailey,-8.4959,11.418,-0.744,0.457,-30.875,13.883
DisplayName_Allen Barbre,-0.9996,1.269,-0.788,0.431,-3.487,1.488
DisplayName_Allen Hurns,-6.6932,3.93,-1.703,0.089,-14.397,1.01
DisplayName_Allen Robinson,0.8815,4.158,0.212,0.832,-7.268,9.031
DisplayName_Alonzo Russell,-2.5548,5.608,-0.456,0.649,-13.547,8.438
DisplayName_Alshon Jeffery,0.0445,3.5,0.013,0.99,-6.815,6.904
DisplayName_Alterraun Verner,-7.2692,2.424,-2.999,0.003,-12.02,-2.519
DisplayName_Alvin Kamara,-4.5411,4.177,-1.087,0.277,-12.728,3.646
DisplayName_Amara Darboh,-2.0043,3.069,-0.653,0.514,-8.019,4.01
DisplayName_Amari Cooper,-1.3307,2.428,-0.548,0.584,-6.09,3.429
DisplayName_Ameer Abdullah,-9.5325,7.165,-1.33,0.183,-23.575,4.51
DisplayName_Amini Silatolu,-4.9177,2.469,-1.992,0.046,-9.757,-0.079
DisplayName_Andre Branch,-17.1802,18.578,-0.925,0.355,-53.593,19.233
DisplayName_Andre Ellington,-9.8887,8.061,-1.227,0.22,-25.688,5.911
DisplayName_Andre Hal,0.0539,2.25,0.024,0.981,-4.355,4.463
DisplayName_Andre Holmes,-2.8471,1.858,-1.532,0.125,-6.488,0.794
DisplayName_Andre Roberts,-7.0718,4.05,-1.746,0.081,-15.01,0.867
DisplayName_Andre Smith,3.253,8.069,0.403,0.687,-12.562,19.068
DisplayName_Andre Williams,-5.3591,3.84,-1.396,0.163,-12.885,2.167
DisplayName_Andrew Adams,0.5528,3.615,0.153,0.878,-6.533,7.639
DisplayName_Andrew Billings,1.0153,1.022,0.993,0.321,-0.989,3.019
DisplayName_Andrew Donnal,-7.3693,3.249,-2.268,0.023,-13.738,-1.0
DisplayName_Andrew Luck,4.1579,4.074,1.02,0.307,-3.828,12.144
DisplayName_Andrew Norwell,2.2783,2.979,0.765,0.444,-3.561,8.117
DisplayName_Andrew Sendejo,2.2023,5.473,0.402,0.687,-8.525,12.929
DisplayName_Andrew Whitworth,2.1958,7.819,0.281,0.779,-13.13,17.522
DisplayName_Andrew Wylie,-3.2286,2.745,-1.176,0.24,-8.609,2.152
DisplayName_Andrus Peat,-1.2574,4.14,-0.304,0.761,-9.371,6.856
DisplayName_Andy Dalton,-1.2756,1.52,-0.839,0.401,-4.255,1.704
DisplayName_Andy Janovich,0.0487,3.591,0.014,0.989,-6.99,7.087
DisplayName_Andy Jones,-0.565,3.198,-0.177,0.86,-6.834,5.704
DisplayName_Andy Levitre,-1.8747,3.014,-0.622,0.534,-7.783,4.033
DisplayName_Angelo Blackson,-0.1959,3.39,-0.058,0.954,-6.84,6.448
DisplayName_Anthony Averett,-9.6376,4.638,-2.078,0.038,-18.729,-0.546
DisplayName_Anthony Barr,2.8144,9.399,0.299,0.765,-15.607,21.235
DisplayName_Anthony Brown,-3.3971,1.73,-1.964,0.05,-6.788,-0.007
DisplayName_Anthony Castonzo,-4.5672,2.341,-1.951,0.051,-9.155,0.021
DisplayName_Anthony Chickillo,3.687,9.568,0.385,0.7,-15.066,22.44
DisplayName_Anthony Fabiano,-6.8395,2.519,-2.716,0.007,-11.776,-1.903
DisplayName_Anthony Fasano,1.1855,1.704,0.696,0.487,-2.155,4.526
DisplayName_Anthony Firkser,-2.4239,2.657,-0.912,0.362,-7.632,2.784
DisplayName_Anthony Harris,-0.5605,3.378,-0.166,0.868,-7.181,6.06
DisplayName_Anthony Hitchens,-0.4085,4.427,-0.092,0.926,-9.085,8.268
DisplayName_Anthony Johnson,-14.6093,15.705,-0.93,0.352,-45.39,16.172
DisplayName_Anthony Lanier,-9.3417,12.523,-0.746,0.456,-33.886,15.203
DisplayName_Anthony Levine,1.2684,5.351,0.237,0.813,-9.219,11.756
DisplayName_Anthony Miller,-4.2702,3.233,-1.321,0.187,-10.606,2.066
DisplayName_Anthony Sherman,-1.9117,2.391,-0.8,0.424,-6.597,2.774
DisplayName_Anthony Steen,0.9867,1.411,0.699,0.484,-1.778,3.751
DisplayName_Anthony Walker,-3.1148,3.095,-1.006,0.314,-9.182,2.952
DisplayName_Anthony Zettel,-16.7583,15.509,-1.081,0.28,-47.155,13.638
DisplayName_Antoine Bethea,2.6549,4.612,0.576,0.565,-6.384,11.694
DisplayName_Antone Exum,4.2755,6.944,0.616,0.538,-9.334,17.885
DisplayName_Antonio Brown,-7.6483,6.435,-1.189,0.235,-20.26,4.964
DisplayName_Antonio Callaway,-3.9296,3.032,-1.296,0.195,-9.872,2.013
DisplayName_Antonio Gates,0.3303,1.206,0.274,0.784,-2.034,2.695
DisplayName_Antonio Hamilton,-7.0256,2.242,-3.133,0.002,-11.421,-2.631
DisplayName_Antonio Morrison,0.6507,5.898,0.11,0.912,-10.909,12.21
DisplayName_Antony Auclair,-0.4914,1.14,-0.431,0.666,-2.725,1.743
DisplayName_Antwaun Woods,-3.0615,3.273,-0.935,0.35,-9.476,3.353
DisplayName_Aqib Talib,-0.8425,4.655,-0.181,0.856,-9.967,8.282
DisplayName_ArDarius Stewart,-3.5083,2.408,-1.457,0.145,-8.228,1.211
DisplayName_Arden Key,-24.5194,25.044,-0.979,0.328,-73.605,24.566
DisplayName_Arie Kouandjio,-0.645,0.81,-0.796,0.426,-2.233,0.943
DisplayName_Arik Armstead,-9.9187,10.645,-0.932,0.351,-30.784,10.946
DisplayName_Armani Watts,3.6307,5.182,0.701,0.484,-6.525,13.787
DisplayName_Arrelious Benn,2.4602,6.296,0.391,0.696,-9.88,14.8
DisplayName_Arthur Jones,-1.7061,3.672,-0.465,0.642,-8.904,5.491
DisplayName_Arthur Maulet,-5.2338,2.138,-2.447,0.014,-9.425,-1.042
DisplayName_Arthur Moats,-18.6157,22.982,-0.81,0.418,-63.66,26.428
DisplayName_Artie Burns,-3.0293,1.809,-1.674,0.094,-6.575,0.517
DisplayName_Auden Tate,6.0943,6.124,0.995,0.32,-5.909,18.098
DisplayName_Austin Blythe,-6.8602,2.928,-2.343,0.019,-12.599,-1.122
DisplayName_Austin Calitro,0.2448,5.776,0.042,0.966,-11.076,11.565
DisplayName_Austin Carr,-6.7809,3.964,-1.711,0.087,-14.55,0.988
DisplayName_Austin Corbett,-5.1574,3.152,-1.636,0.102,-11.335,1.02
DisplayName_Austin Davis,-2.8948,3.827,-0.756,0.449,-10.396,4.606
DisplayName_Austin Ekeler,-9.1669,8.01,-1.144,0.252,-24.866,6.532
DisplayName_Austin Hooper,0.3416,1.057,0.323,0.746,-1.729,2.412
DisplayName_Austin Howard,2.195,7.83,0.28,0.779,-13.151,17.541
DisplayName_Austin Johnson,-1.0464,0.749,-1.397,0.162,-2.515,0.422
DisplayName_Austin Pasztor,-5.7632,4.977,-1.158,0.247,-15.519,3.992
DisplayName_Austin Reiter,-6.3449,3.006,-2.111,0.035,-12.237,-0.453
DisplayName_Austin Seferian-Jenkins,2.7455,2.551,1.076,0.282,-2.254,7.745
DisplayName_Austin Traylor,1.3002,1.482,0.877,0.38,-1.605,4.206
DisplayName_Avery Moss,9.4757,14.03,0.675,0.499,-18.024,36.975
DisplayName_Avery Williamson,1.7971,7.256,0.248,0.804,-12.425,16.019
DisplayName_Aviante Collins,-4.7831,3.999,-1.196,0.232,-12.622,3.056
DisplayName_Avonte Maddox,-5.093,2.848,-1.788,0.074,-10.675,0.489
DisplayName_B.J. Bello,-4.3457,3.076,-1.413,0.158,-10.375,1.684
DisplayName_B.J. Finney,-1.0031,3.34,-0.3,0.764,-7.549,5.542
